prompt	stmt_a	stmt_b	stmt_c	lie_option	explanation	correct_fact	trap_type	difficulty
Алканы и формулы 01	Алканы — насыщенные углеводороды: в их цепи есть только одинарные C–C связи.	Общая формула ациклических алканов: CnH2n+2; у циклоалканов водорода меньше.	Метан — самый тяжёлый представитель алканов, потому что у него самая плотная упаковка.	C	Метан, наоборот, самый лёгкий алкан: у него минимальная молярная масса в ряду.	Правда: метан — самый лёгкий алкан (M=16 г/моль), а не самый тяжёлый.	numbers	1
Изомерия алканов 02	У алканов с четырёх атомов углерода появляется структурная (скелетная) изомерия.	C4H10 имеет два изомера: н-бутан и изобутан, отличающиеся строением цепи.	Число изомеров алканов уменьшается с ростом n, потому что длинная цепь «упорядочивается».	C	Чем больше атомов углерода, тем больше способов ветвления и тем больше изомеров.	Правда: число изомеров алканов быстро растёт с увеличением числа атомов углерода.	generalization	1
Горение углеводородов 03	При полном сгорании углеводородов образуются CO2 и H2O, если кислорода достаточно.	Неполное сгорание часто даёт CO и сажу, поэтому пламя становится более коптящим.	Полное сгорание приводит к CO, потому что он «энергетически выгоднее», чем CO2.	C	CO возникает при нехватке O2; при полном сгорании углерод переходит в CO2.	Правда: при полном сгорании углеводородов получаются CO2 и H2O.	causation	1
Алкены: присоединение 04	В алкенах есть двойная связь C=C, из-за неё они чаще реагируют по реакциям присоединения.	Этилен обесцвечивает бромную воду: бром присоединяется по двойной связи без нагрева.	Алкены хорошо растворяются в воде, потому что двойная связь делает молекулу сильно полярной.	C	Двойная связь не делает алкены сильно полярными, поэтому растворимость в воде низкая.	Правда: большинство алкенов плохо растворимы в воде и лучше — в неполярных средах.	generalization	1
Правило Марковникова 05	По правилу Марковникова H при присоединении HX идёт к более гидрированному атому углерода.	Для пропена + HCl основным продуктом будет 2-хлорпропан, а не 1-хлорпропан.	Правило Марковникова применяют к замещению в алканах, чтобы угадать место отрыва H.	C	Это правило про присоединение к кратной связи, а не про радикальное замещение алканов.	Правда: правило Марковникова описывает ориентацию присоединения HX к алкенам/алкинам.	scope_shift	1
Гидратация алкенов 06	Гидратация алкена в присутствии кислоты даёт спирт; чаще выходит продукт по Марковникову.	Присоединение воды к этилену даёт этанол, если есть кислотный катализатор.	Гидратация алкенов идёт без катализатора, потому что вода — «сильный электрофил».	C	Вода слабый электрофил; обычно нужен кислотный катализ и нагрев, иначе реакция почти стоит.	Правда: гидратация алкенов обычно требует кислотного катализа и повышенной температуры.	authority	1
Алкины и строение 07	В алкинах есть тройная связь C≡C; атомы при ней обычно имеют sp-гибридизацию.	Этин (ацетилен) можно получить реакцией карбида кальция с водой.	Алкины менее реакционноспособны, чем алканы, потому что тройная связь «слишком прочная».	C	Алкины активно вступают в присоединение по кратной связи; они не «пассивнее» алканов.	Правда: алкины реагируют по кратной связи (присоединение), как и алкены.	causation	1
Бензол: ароматичность 08	Бензол имеет формулу C6H6 и плоское кольцо с делокализованными π-электронами.	Бензол чаще вступает в замещение, а не в присоединение, чтобы сохранить ароматичность.	В бензоле чередуются обычные одинарные и двойные связи разной длины, как в алкенах.	C	В бензоле все связи C–C одинаковы по длине из-за делокализации π-электронов.	Правда: в бензоле все C–C связи эквивалентны и имеют промежуточную длину.	origin	1
Галогенирование бензола 09	Хлорирование бензола идёт как электрофильное замещение при катализаторе FeCl3 или AlCl3.	В реакциях замещения бензол сохраняет ароматическое ядро, поэтому не «ведёт себя как алкен».	Бензол легко присоединяет Br2 без катализатора при комнатной температуре, как этилен.	C	Без катализатора бензол бромную воду не обесцвечивает; присоединение невыгодно из-за потери ароматичности.	Правда: бензол с Br2/Cl2 обычно реагирует по замещению при катализаторах, а не по присоединению.	authority	1
Спирты: водородные связи 10	Спирты содержат группу –OH, и многие из них образуют водородные связи между молекулами.	Этанол смешивается с водой в любых соотношениях, а гексанол — уже заметно хуже.	Все спирты — сильные кислоты и вытесняют CO2 из карбонатов так же уверенно, как HCl.	C	Спирты обычно слабокислые; CO2 из карбонатов вытесняют заметно более сильные кислоты.	Правда: спирты слабее кислот, поэтому реакция с карбонатами для них не типична.	generalization	1
Окисление спиртов 11	Первичные спирты при мягком окислении дают альдегиды, а при дальнейшем — карбоновые кислоты.	Вторичные спирты обычно окисляются до кетонов, теряя H у углерода при –OH.	Третичные спирты легко окисляются до альдегидов мягкими окислителями, ведь у них «много H».	C	У третичных спиртов нет H при углероде с –OH, поэтому до карбонилов они мягко не окисляются.	Правда: первичные → альдегиды/кислоты, вторичные → кетоны, третичные обычно устойчивы к мягкому окислению.	causation	1
Фенол и бромная вода 12	Фенол кислотнее обычных спиртов: фенолят-ион стабилизируется резонансом в кольце.	Фенол реагирует с NaOH с образованием фенолята, а этанол с NaOH почти не реагирует.	Фенол не взаимодействует с бромной водой, потому что ароматическое кольцо слишком стабильное.	C	Группа –OH активирует ядро; фенол легко бромируется и обесцвечивает бромную воду.	Правда: фенол быстро бромируется (обычно орто/пара) и обесцвечивает бромную воду.	generalization	1
Альдегиды и Толленс 13	Альдегиды содержат группу –CHO и обычно легче окисляются, чем кетоны.	Реакция «серебряного зеркала» подтверждает наличие альдегидной группы в растворе.	Обычные кетоны дают «серебряное зеркало» так же легко, ведь у них тоже есть C=O.	C	В условиях Толленса окисляются альдегиды; большинство кетонов реакцию не дают.	Правда: реакцию Толленса дают альдегиды; кетоны обычно не окисляются в этих условиях.	authority	1
Кислоты и сода 14	Карбоновые кислоты содержат –COOH и обычно сильнее спиртов по кислотным свойствам.	Уксусная кислота реагирует с NaHCO3 с выделением CO2 — классический признак кислоты.	Сложные эфиры тоже выделяют CO2 с NaHCO3, потому что «почти кислоты» по строению.	C	Эфиры не имеют кислотного протона –COOH, поэтому с гидрокарбонатами CO2 не выделяют.	Правда: CO2 из NaHCO3 выделяют кислоты с группой –COOH; эфиры так не реагируют.	scope_shift	1
Эстеры и запахи 15	Сложные эфиры часто пахнут фруктами: некоторые узнаются как «банан» или «ананас».	Этерификация кислоты и спирта обратима и обычно идёт при кислотном катализе и нагревании.	Этерификация отлично идёт без катализатора: кислота и спирт «сами обязаны» быстро среагировать.	C	Без катализа реакция обычно медленная и даёт низкий выход; кислотный катализатор ускоряет процесс.	Правда: для этерификации обычно используют кислотный катализ и сдвигают равновесие удалением воды.	urgency	1
Амины: основность 16	Амины — производные аммиака; в воде они проявляют основные свойства из-за неподелённой пары на N.	Метиламин в воде частично протонируется и повышает pH, образуя ион CH3NH3+.	Анилин сильнее основание, чем метиламин, потому что бензольное кольцо «усиливает пару» на N.	C	У анилина пара частично делокализуется в кольцо, поэтому она хуже связывает H+ и основность ниже.	Правда: алифатические амины обычно более основные, чем анилин.	causation	1
Полимеризация этилена 17	Полиэтилен получают полимеризацией этилена: мономеры соединяются в длинную цепь без побочных молекул.	При полимеризации этилена разрывается π-связь C=C и образуются новые σ-связи C–C.	Полимеризация этилена — это замещение: один H заменяется на фрагмент –CH2–.	C	Это присоединение: двойная связь раскрывается, но водороды не «вытесняются» из молекулы.	Правда: полимеризация алкенов — реакция присоединения по двойной связи.	scope_shift	1
Омыление жиров 18	Жиры — это сложные эфиры глицерина и высших карбоновых кислот.	Щелочной гидролиз жиров называют омылением: образуются глицерин и соли кислот (мыла).	Омыление обратимо: при добавлении воды мыло легко снова превращается в жир без условий.	C	В щелочной среде кислоты превращаются в соли, и равновесие уходит к продуктам, процесс почти необратим.	Правда: омыление ведёт к солям кислот, поэтому обратно к жирам оно не «откатывается» просто водой.	generalization	1
Галогеналканы: C–X 19	В галогеналканах связь C–X полярна, поэтому они часто вступают в нуклеофильное замещение.	Иодалканы обычно реагируют быстрее хлоралканов: связь C–I слабее и легче рвётся.	Фторалканы гидролизуются легче всех, потому что связь C–F самая слабая среди C–X.	C	C–F — самая прочная связь; фторалканы обычно наименее реакционноспособны в SN-реакциях.	Правда: уходящая способность обычно I > Br > Cl >> F, поэтому иодалканы реагируют быстрее.	numbers	1
Реакция Вюрца 20	Реакция Вюрца соединяет галогеналканы с натрием, образуя более длинный алкан.	Вюрц удобен для получения симметричных алканов, если брать один тип галогеналкана.	Если смешать два разных галогеналкана, Вюрц всегда даст один чистый продукт без смеси.	C	При смеси обычно образуется набор продуктов: два симметричных и перекрёстный(ые).	Правда: Вюрц с разными галогеналканами чаще даёт смесь, поэтому его любят за «симметричные» случаи.	generalization	1
Анти-Марковников и пероксиды 21	Присоединение HBr к алкенам в присутствии пероксидов может идти против правила Марковникова.	Для HBr + пропен при пероксидах основным может стать 1-бромпропан (радикальный путь).	Пероксидный эффект одинаково работает для HCl и HI: они тоже дают анти-Марковников продукты.	C	Такой цепной радикальный механизм характерен главным образом для HBr, не для HCl и HI.	Правда: анти-Марковников присоединение в присутствии ROOR типично именно для HBr.	scope_shift	2
Дегидратация спиртов 22	При дегидратации спиртов (H2SO4, t) образуются алкены: удаляются H и OH с образованием воды.	Вторичные и третичные спирты дегидратируются легче первичных из-за более стабильных карбокатионов.	Дегидратация спиртов всегда даёт только один алкен, потому что отщепление идёт строго по одному пути.	C	Часто возможны разные направления отщепления и смеси алкенов; главный — обычно более замещённый.	Правда: при дегидратации нередко получается смесь алкенов, но преобладает продукт по Зайцеву.	generalization	2
Зайцев и Гофман 23	При элиминировании по правилу Зайцева чаще образуется более замещённый алкен.	Объёмные основания могут смещать селективность к продукту Гофмана — менее замещённому алкену.	Правило Зайцева используют для присоединения HX к алкенам, чтобы выбрать основной галогеналкан.	C	Зайцев/Гофман относятся к отщеплению; ориентация присоединения HX — это Марковников/анти-Марковников.	Правда: правило Зайцева описывает распределение продуктов в реакциях элиминирования (E1/E2).	scope_shift	2
SN1 и SN2 24	SN2 — одностадийное замещение с атакой «с тыла»; часто наблюдается инверсия конфигурации.	SN1 идёт через карбокатион; третичные галогеналканы чаще реагируют по SN1, чем первичные.	SN1 всегда быстрее SN2, потому что карбокатион «ускоряет» реакцию при любых условиях.	C	SN1 может быть медленным: образование карбокатиона нередко лимитирует скорость, условия решают всё.	Правда: скорость SN1/SN2 зависит от строения субстрата, растворителя и нуклеофила; «всегда быстрее» неверно.	generalization	2
SEAr: нитрование бензола 25	Нитрование бензола проводят смесью HNO3 и H2SO4: образуется электрофил NO2+.	SEAr идёт через σ-комплекс и восстановление ароматичности после отрыва H+.	Нитрование бензола — радикальное замещение: нитро-радикал замещает H при свете.	C	Нитрование — электрофильное ароматическое замещение; свет и радикалы не определяют механизм.	Правда: нитрование бензола — пример электрофильного ароматического замещения (SEAr) через NO2+.	origin	2
Ориентация заместителей 26	Гидроксильная группа активирует бензол и направляет замещение в орто- и пара-положения.	Нитрогруппа –NO2 дезактивирует кольцо и обычно ориентирует замещение в мета-положение.	Алкильные заместители дезактивируют ядро и направляют замещение строго в мета-положение.	C	Алкильные группы обычно активируют кольцо и являются орто/пара-директорами, а не мета-директорами.	Правда: алкильные заместители активируют бензол и направляют замещение в орто/пара.	generalization	2
Окисление боковой цепи 27	Боковая цепь алкилбензолов при сильном окислении часто превращается в –COOH у кольца.	Толуол при окислении KMnO4 в жёстких условиях даёт бензойную кислоту.	При окислении алкилбензола всегда сохраняется длина цепи: просто появляется кислород «на конце».	C	Жёсткое окисление «обрезает» цепь до карбоксильной группы у ядра; длина не сохраняется.	Правда: сильное окисление алкилбензолов обычно даёт бензойную кислоту независимо от длины цепи.	scope_shift	2
Альдольная конденсация 28	Альдольная реакция требует карбонильного соединения с α-водородами и даёт β-гидроксикарбонил.	После дегидратации альдольный продукт часто превращается в α,β-ненасыщенное карбонильное соединение.	Донором в альдольной реакции может быть любое альдегидное соединение, даже без α-водородов.	C	Без α-водородов донорный енол(ат) не образуется, значит донор «не стартует».	Правда: донор в альдольной реакции должен иметь α-водороды для образования енола/энолата.	scope_shift	2
